rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
1,0.04,passive_aggressive,0.12573919799715114,3.7359395027160645,5000,0.127389054354134,0,1724672007.0398438,1724672010.801828,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
3,0.02,passive_aggressive,0.12582552769024907,3.688595771789551,3805,0.1269622019827053,0,1724669204.8982909,1724669208.6249824,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
2,0.02,passive_aggressive,0.12582552769024907,3.473559617996216,4776,0.12741783091849998,0,1724671462.6323857,1724671466.1174223,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
4,0.02,passive_aggressive,0.1258255276902491,3.5912787914276123,4384,0.12734588950758502,0,1724670530.0844724,1724670533.7227035,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
5,0.02,passive_aggressive,0.12586869253679805,3.8986716270446777,6740,0.12731231684915806,0,1724676910.1683915,1724676914.092331,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
6,0.08,passive_aggressive,0.125911857383347,4.126464605331421,6421,0.12733150122540207,0,1724675920.0274699,1724675924.1932824,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
7,0.02,passive_aggressive,0.12591185738334704,3.6022675037384033,4647,0.12742742310662197,0,1724671152.2907732,1724671155.9249923,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
8,0.04,passive_aggressive,0.125955022229896,3.566708564758301,4366,0.12742742310662197,0,1724670485.988125,1724670489.6004214,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
9,0.02,passive_aggressive,0.12599818707644495,4.136239290237427,1708,0.1264730003884836,0,1724665506.4637816,1724665510.619717,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],weighting,Random Search
10,0.04,passive_aggressive,0.12599818707644497,3.452910900115967,4485,0.127403442636317,0,1724670765.9838748,1724670769.479328,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
11,0.02,passive_aggressive,0.12599818707644497,3.561875343322754,6286,0.12743701529474397,0,1724675510.5167913,1724675514.1072724,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
12,0.14,passive_aggressive,0.12604135192299393,4.656548023223877,3049,0.1264825925766056,0,1724667725.3262894,1724667729.997577,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],weighting,Local Search
13,0.02,passive_aggressive,0.12604135192299393,3.430307626724243,6024,0.12744660748286596,0,1724674753.2915945,1724674756.766929,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
18,0.06,passive_aggressive,0.1260845167695429,4.022101402282715,1251,0.12653055351721557,0,1724664819.6471927,1724664823.678782,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
14,0.04,passive_aggressive,0.1260845167695429,3.6535747051239014,3684,0.12758089811657386,0,1724668952.3091905,1724668955.9919214,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
15,0.12,passive_aggressive,0.1260845167695429,4.456000566482544,5286,0.1264825925766056,0,1724672740.5593615,1724672745.043873,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],weighting,Local Search
16,0.1,passive_aggressive,0.1260845167695429,4.040982961654663,5987,0.12643942773005665,0,1724674640.825792,1724674645.0036037,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],weighting,Local Search
17,0.02,passive_aggressive,0.1260845167695429,3.412498950958252,6185,0.12739864654225597,0,1724675222.1170552,1724675225.555433,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
19,0.16,passive_aggressive,0.12608451676954294,4.10235595703125,2816,0.12650177695284961,0,1724667315.1945708,1724667319.3539019,6.25,StatusType.DONOTADVANCE,[],['no_preprocessing'],weighting,Local Search
