Metric,Value
R2,0.10723672277047014
Mean Squared Error,3549611910350.687
Root Mean Squared Error,1884041.3770272369
Mean Absolute Error,1544739.0017062975
Explained Variance,0.11429585766222039
Max Error,6273651.6171875
Median Absolute Error,1426764.921875
